"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2025","1,366.37","1,366.37","1,366.37","1,345.00","536.48K","10.00%"
"02/13/2025","1,242.15","1,215.00","1,250.00","1,211.00","1.67M","2.82%"
"02/12/2025","1,208.09","1,218.59","1,220.00","1,206.90","172.10K","-0.86%"
"02/11/2025","1,218.59","1,214.28","1,228.00","1,210.00","249.83K","0.78%"
"02/10/2025","1,209.10","1,211.00","1,215.00","1,190.20","110.00K","-0.02%"
"02/07/2025","1,209.34","1,188.10","1,215.00","1,188.10","83.03K","1.24%"
"02/06/2025","1,194.54","1,195.00","1,200.00","1,175.00","483.79K","-0.10%"
"02/04/2025","1,195.75","1,210.00","1,217.99","1,185.00","342.63K","-0.31%"
"02/03/2025","1,199.47","1,184.00","1,240.00","1,178.21","718.48K","1.58%"
"01/31/2025","1,180.84","1,150.00","1,210.02","1,140.00","1.07M","6.03%"
"01/30/2025","1,113.72","1,070.00","1,119.00","1,070.00","594.47K","3.49%"
"01/29/2025","1,076.15","1,086.00","1,095.00","1,073.10","127.45K","-0.80%"
"01/28/2025","1,084.82","1,107.00","1,118.99","1,077.00","355.99K","-1.26%"
"01/27/2025","1,098.66","1,110.00","1,119.00","1,091.00","102.44K","-0.95%"
"01/24/2025","1,109.15","1,110.00","1,130.00","1,105.60","117.69K","0.21%"
"01/23/2025","1,106.83","1,109.99","1,113.99","1,098.75","50.22K","0.86%"
"01/22/2025","1,097.44","1,110.00","1,119.00","1,087.87","150.33K","-0.37%"
"01/21/2025","1,101.48","1,132.00","1,139.00","1,098.00","82.98K","-2.78%"
"01/20/2025","1,132.96","1,145.00","1,145.00","1,130.00","84.94K","0.41%"
"01/17/2025","1,128.30","1,098.00","1,134.99","1,090.40","267.30K","2.65%"
"01/16/2025","1,099.15","1,111.00","1,111.00","1,091.02","87.07K","-1.03%"
"01/15/2025","1,110.64","1,105.10","1,129.00","1,099.00","97.95K","-0.53%"
"01/14/2025","1,116.52","1,114.50","1,124.00","1,094.11","150.51K","1.13%"
"01/13/2025","1,104.00","1,096.03","1,120.00","1,096.03","103.19K","0.85%"
"01/10/2025","1,094.74","1,100.00","1,124.70","1,078.60","215.24K","-0.68%"
"01/09/2025","1,102.26","1,137.00","1,147.00","1,091.94","174.59K","-2.85%"
"01/08/2025","1,134.54","1,150.01","1,172.00","1,130.00","178.70K","-1.43%"
"01/07/2025","1,150.95","1,151.00","1,155.90","1,098.00","274.36K","0.00%"
"01/06/2025","1,151.00","1,158.90","1,165.98","1,125.00","183.76K","0.44%"
"01/03/2025","1,146.00","1,219.00","1,219.00","1,101.01","487.08K","-4.28%"
"01/02/2025","1,197.20","1,200.00","1,230.00","1,155.00","362.26K","0.96%"
"01/01/2025","1,185.85","1,114.85","1,191.15","1,099.00","481.17K","8.30%"
"12/31/2024","1,095.00","1,115.00","1,140.00","1,091.25","363.14K","-0.45%"
"12/30/2024","1,100.00","1,080.00","1,110.50","1,055.00","192.19K","3.19%"
"12/27/2024","1,066.00","1,070.00","1,088.00","1,066.00","171.86K","0.09%"
"12/26/2024","1,065.00","1,116.10","1,120.00","1,060.00","292.07K","-4.57%"
"12/24/2024","1,116.00","1,132.00","1,152.00","1,110.00","143.90K","-1.59%"
"12/23/2024","1,134.00","1,125.00","1,134.98","1,051.00","179.86K","2.16%"
"12/20/2024","1,110.00","1,084.00","1,120.99","1,073.00","281.71K","2.30%"
"12/19/2024","1,085.00","1,125.00","1,177.00","1,050.00","542.50K","-4.66%"
"12/18/2024","1,138.00","1,191.00","1,198.00","1,112.67","296.07K","-3.80%"
"12/17/2024","1,183.00","1,225.00","1,249.98","1,175.00","433.50K","-4.06%"
"12/16/2024","1,233.00","1,260.00","1,270.00","1,220.01","559.58K","-2.91%"
"12/13/2024","1,270.00","1,225.00","1,271.00","1,215.05","332.67K","2.42%"
"12/12/2024","1,240.00","1,229.00","1,260.00","1,204.00","594.52K","1.47%"
"12/11/2024","1,222.00","1,210.00","1,255.00","1,205.00","255.48K","1.75%"
"12/10/2024","1,201.01","1,194.99","1,283.84","1,157.00","1.02M","2.04%"
"12/09/2024","1,177.00","1,120.11","1,218.97","1,103.00","288.29K","6.04%"
"12/06/2024","1,110.00","1,120.01","1,141.00","1,100.00","266.82K","-0.72%"
"12/05/2024","1,118.00","1,067.02","1,121.00","1,051.46","488.10K","4.68%"
"12/04/2024","1,068.00","1,058.19","1,072.00","1,045.00","284.60K","1.14%"
"12/03/2024","1,056.00","1,041.13","1,061.90","1,040.00","405.61K","1.54%"
"12/02/2024","1,039.99","1,025.00","1,054.00","1,019.55","176.19K","1.76%"
"11/29/2024","1,022.00","1,019.00","1,031.40","1,014.00","63.39K","0.19%"
"11/28/2024","1,020.02","998.00","1,030.00","995.00","215.71K","2.21%"
"11/27/2024","998.00","960.00","1,040.00","959.90","486.46K","5.05%"
"11/26/2024","950.00","998.77","998.77","925.00","576.28K","-4.14%"
"11/25/2024","991.01","1,027.00","1,039.98","990.00","157.17K","-3.41%"
"11/22/2024","1,026.00","1,039.87","1,050.16","1,025.00","300.36K","-1.25%"
"11/21/2024","1,039.00","1,010.20","1,043.75","1,010.20","68.35K","1.46%"
"11/20/2024","1,024.00","1,041.00","1,055.00","1,022.02","448.09K","-2.29%"
"11/19/2024","1,048.00","1,010.16","1,059.29","1,010.16","36.75K","-0.85%"
"11/18/2024","1,057.00","1,045.00","1,060.00","1,037.50","357.92K","1.28%"
"11/15/2024","1,043.61","1,044.99","1,047.99","1,027.00","174.33K","-0.13%"
"11/14/2024","1,045.00","1,030.00","1,047.00","1,020.22","328.13K","2.25%"
"11/13/2024","1,022.00","993.37","1,023.00","989.00","326.37K","3.23%"
"11/12/2024","990.00","996.00","1,004.98","988.00","150.51K","-0.20%"
"11/11/2024","992.00","1,009.97","1,016.00","986.00","170.98K","-1.19%"
"11/08/2024","1,003.95","1,019.99","1,019.99","1,000.00","65.90K","-0.99%"
